,date,close,diff,open,high,low,volume
7191,2014-09-17,1226000,20000,1207000,1226000,1207000,150915
7192,2014-09-16,1206000,6000,1208000,1215000,1201000,141848
7193,2014-09-15,1200000,1000,1207000,1208000,1196000,143230
7194,2014-09-12,1201000,9000,1200000,1208000,1200000,217447
7195,2014-09-11,1192000,9000,1200000,1207000,1192000,466184
7196,2014-09-05,1201000,9000,1215000,1216000,1195000,215408
7197,2014-09-04,1210000,21000,1210000,1216000,1202000,241999
7198,2014-09-03,1189000,5000,1200000,1200000,1180000,424775
7199,2014-09-02,1194000,32000,1221000,1225000,1194000,317992
7180,2014-09-01,1226000,8000,1236000,1237000,1224000,113281
7181,2014-08-29,1234000,8000,1238000,1238000,1228000,291165
7182,2014-08-28,1242000,12000,1258000,1258000,1236000,206237
7183,2014-08-27,1230000,8000,1223000,1237000,1222000,243420
7184,2014-08-26,1222000,6000,1235000,1235000,1221000,214389
7185,2014-08-25,1228000,19000,1231000,1231000,1221000,231544
7186,2014-08-22,1247000,12000,1245000,1247000,1235000,168153
7187,2014-08-21,1235000,26000,1255000,1261000,1231000,342108
7188,2014-08-20,1261000,7000,1264000,1271000,1251000,188612
7189,2014-08-19,1254000,4000,1264000,1273000,1253000,200888
7170,2014-08-18,1250000,11000,1279000,1280000,1250000,210379
7171,2014-08-14,1261000,3000,1274000,1282000,1254000,208947
7172,2014-08-13,1264000,2000,1275000,1275000,1248000,256900
7173,2014-08-12,1266000,4000,1270000,1294000,1262000,179914
7174,2014-08-11,1270000,20000,1275000,1282000,1257000,372385
7175,2014-08-08,1250000,40000,1284000,1285000,1248000,412429
7176,2014-08-07,1290000,10000,1300000,1302000,1285000,190545
7177,2014-08-06,1300000,16000,1306000,1316000,1295000,216602
7178,2014-08-05,1316000,1000,1301000,1321000,1300000,172529
7179,2014-08-04,1317000,25000,1300000,1317000,1291000,241335
7160,2014-08-01,1292000,51000,1305000,1328000,1292000,564621
7161,2014-07-31,1343000,52000,1374000,1385000,1336000,487027
7162,2014-07-30,1395000,9000,1388000,1408000,1374000,347189
7163,2014-07-29,1386000,28000,1355000,1388000,1353000,256186
7164,2014-07-28,1358000,3000,1355000,1367000,1344000,179851
7165,2014-07-25,1355000,0,1346000,1355000,1335000,175803
7166,2014-07-24,1355000,17000,1350000,1358000,1331000,161034
7167,2014-07-23,1338000,10000,1354000,1357000,1335000,128346
7168,2014-07-22,1348000,5000,1348000,1358000,1345000,126019
7169,2014-07-21,1353000,10000,1349000,1360000,1343000,161199
7150,2014-07-18,1343000,13000,1315000,1343000,1314000,194853
7151,2014-07-17,1330000,9000,1326000,1335000,1320000,218454
7152,2014-07-16,1321000,1000,1313000,1323000,1311000,182284
7153,2014-07-15,1320000,34000,1300000,1323000,1297000,239521
7154,2014-07-14,1286000,2000,1298000,1300000,1286000,141643
7155,2014-07-11,1284000,22000,1300000,1302000,1282000,215592
7156,2014-07-10,1306000,2000,1308000,1311000,1302000,179204
7157,2014-07-09,1308000,13000,1287000,1308000,1283000,236598
7158,2014-07-08,1295000,3000,1294000,1319000,1287000,241464
7159,2014-07-07,1292000,14000,1291000,1301000,1290000,188741
7140,2014-07-04,1306000,12000,1322000,1326000,1303000,119577
7141,2014-07-03,1318000,12000,1336000,1336000,1316000,170861
7142,2014-07-02,1330000,20000,1317000,1331000,1306000,222785
7143,2014-07-01,1310000,12000,1308000,1314000,1301000,174508
7144,2014-06-30,1322000,11000,1310000,1324000,1309000,177621
7145,2014-06-27,1311000,14000,1307000,1319000,1306000,179061
7146,2014-06-26,1325000,5000,1309000,1343000,1307000,255306
7147,2014-06-25,1320000,25000,1330000,1333000,1318000,204638
7148,2014-06-24,1345000,23000,1340000,1354000,1332000,237817
7149,2014-06-23,1322000,21000,1321000,1332000,1316000,249765
7130,2014-06-20,1301000,22000,1330000,1330000,1296000,478053
7131,2014-06-19,1323000,35000,1345000,1349000,1320000,446794
7132,2014-06-18,1358000,16000,1373000,1376000,1356000,220887
7133,2014-06-17,1374000,0,1360000,1378000,1351000,269535
7134,2014-06-16,1374000,7000,1380000,1382000,1362000,306399
7135,2014-06-13,1367000,46000,1402000,1404000,1363000,371781
7136,2014-06-12,1413000,9000,1430000,1430000,1401000,258863
7137,2014-06-11,1422000,14000,1412000,1430000,1412000,172515
7138,2014-06-10,1436000,27000,1421000,1438000,1405000,184282
7139,2014-06-09,1409000,48000,1470000,1473000,1402000,445392
7120,2014-06-05,1457000,13000,1466000,1480000,1450000,270141
7121,2014-06-03,1470000,15000,1484000,1495000,1465000,344685
7122,2014-06-02,1455000,12000,1443000,1458000,1439000,148789
7123,2014-05-30,1443000,17000,1470000,1482000,1443000,316621
7124,2014-05-29,1460000,27000,1450000,1465000,1440000,250430
7125,2014-05-28,1433000,26000,1419000,1435000,1409000,184019
7126,2014-05-27,1407000,15000,1417000,1423000,1403000,94968
7127,2014-05-26,1422000,6000,1420000,1432000,1415000,74712
7128,2014-05-23,1428000,2000,1405000,1428000,1405000,170233
7129,2014-05-22,1426000,15000,1441000,1448000,1426000,190800
7110,2014-05-21,1441000,10000,1435000,1450000,1435000,216850
7111,2014-05-20,1451000,3000,1445000,1454000,1435000,320146
7112,2014-05-19,1448000,20000,1428000,1450000,1408000,385621
7113,2014-05-16,1428000,18000,1400000,1437000,1399000,317130
7114,2014-05-15,1410000,5000,1414000,1419000,1403000,136134
7115,2014-05-14,1415000,15000,1409000,1415000,1401000,222075
7116,2014-05-13,1400000,12000,1388000,1425000,1388000,242148
7117,2014-05-12,1388000,53000,1336000,1395000,1332000,318896
7118,2014-05-09,1335000,15000,1356000,1358000,1326000,263141
7119,2014-05-08,1350000,6000,1355000,1355000,1344000,325638
7100,2014-05-07,1344000,2000,1350000,1356000,1340000,283794
7101,2014-05-02,1346000,3000,1354000,1359000,1344000,298867
7102,2014-04-30,1343000,17000,1380000,1381000,1326000,300946
7103,2014-04-29,1360000,28000,1389000,1395000,1351000,218184
7104,2014-04-28,1388000,11000,1404000,1406000,1382000,188629
7105,2014-04-25,1399000,8000,1420000,1428000,1398000,305396
7106,2014-04-24,1407000,18000,1409000,1409000,1399000,210924
7107,2014-04-23,1389000,14000,1394000,1395000,1382000,190015
7108,2014-04-22,1375000,5000,1374000,1384000,1371000,121686
7109,2014-04-21,1380000,2000,1379000,1386000,1375000,65985
7090,2014-04-18,1378000,8000,1370000,1379000,1370000,190367
7091,2014-04-17,1370000,10000,1376000,1380000,1366000,144833
7092,2014-04-16,1380000,10000,1370000,1392000,1363000,186171
7093,2014-04-15,1370000,0,1386000,1387000,1369000,219396
7094,2014-04-14,1370000,5000,1365000,1386000,1365000,211720
7095,2014-04-11,1365000,15000,1362000,1368000,1359000,213187
7096,2014-04-10,1380000,9000,1369000,1380000,1360000,199984
7097,2014-04-09,1371000,23000,1394000,1395000,1364000,321232
7098,2014-04-08,1394000,3000,1387000,1399000,1375000,212164
7099,2014-04-07,1397000,17000,1397000,1397000,1374000,215235
7080,2014-04-04,1380000,10000,1377000,1397000,1377000,368007
7081,2014-04-03,1390000,33000,1351000,1395000,1351000,381976
7082,2014-04-02,1357000,18000,1350000,1357000,1343000,262001
7083,2014-04-01,1339000,4000,1345000,1345000,1331000,221620
7084,2014-03-31,1343000,8000,1345000,1345000,1322000,265197
7085,2014-03-28,1335000,2000,1320000,1338000,1320000,212974
7086,2014-03-27,1333000,48000,1290000,1333000,1285000,417557
7087,2014-03-26,1285000,38000,1269000,1290000,1248000,348894
7088,2014-03-25,1247000,26000,1269000,1270000,1241000,272500
7089,2014-03-24,1273000,0,1260000,1274000,1259000,141478
7070,2014-03-21,1273000,11000,1269000,1273000,1262000,166426
7071,2014-03-20,1262000,7000,1270000,1272000,1262000,118788
7072,2014-03-19,1269000,9000,1280000,1285000,1268000,152771
7073,2014-03-18,1278000,12000,1270000,1283000,1266000,220912
7074,2014-03-17,1266000,9000,1275000,1276000,1258000,176400
7075,2014-03-14,1275000,15000,1270000,1285000,1270000,216736
7076,2014-03-13,1290000,4000,1294000,1313000,1290000,235004
7077,2014-03-12,1294000,28000,1320000,1320000,1293000,251585
7078,2014-03-11,1322000,2000,1320000,1327000,1309000,181596
7079,2014-03-10,1320000,19000,1320000,1330000,1317000,173152
7060,2014-03-07,1339000,13000,1339000,1339000,1329000,150973
7061,2014-03-06,1326000,4000,1329000,1329000,1310000,172335
7062,2014-03-05,1330000,15000,1335000,1341000,1330000,149830
7063,2014-03-04,1315000,10000,1320000,1329000,1315000,158003
7064,2014-03-03,1325000,24000,1336000,1340000,1321000,242083
7065,2014-02-28,1349000,8000,1337000,1349000,1332000,284647
7066,2014-02-27,1341000,1000,1335000,1342000,1330000,157827
7067,2014-02-26,1342000,8000,1337000,1343000,1325000,258361
7068,2014-02-25,1334000,6000,1332000,1340000,1326000,175706
7069,2014-02-24,1328000,2000,1334000,1345000,1321000,148501
7050,2014-02-21,1330000,44000,1333000,1333000,1300000,286924
7051,2014-02-20,1286000,4000,1290000,1296000,1281000,190866
7052,2014-02-19,1290000,5000,1300000,1300000,1280000,123595
7053,2014-02-18,1295000,10000,1285000,1299000,1282000,118213
7054,2014-02-17,1285000,16000,1292000,1306000,1280000,187733
