,date,close,diff,open,high,low,volume
3461,2015-04-27,270000,9000,279500,281500,268500,297655
3462,2015-04-24,279000,5000,288000,288500,275000,241895
3463,2015-04-23,284000,0,284000,289500,281000,208870
3464,2015-04-22,284000,7000,282500,290000,282000,464904
3465,2015-04-21,277000,6500,284500,285500,277000,216226
3466,2015-04-20,283500,22000,266000,287500,265000,535775
3467,2015-04-17,261500,2500,265000,267500,256500,364276
3468,2015-04-16,264000,12500,277000,280500,262000,463714
3469,2015-04-15,276500,1500,274000,281000,272000,221583
3450,2015-04-14,275000,3500,270000,276000,266000,307661
3451,2015-04-13,271500,15500,256000,272000,256000,477231
3452,2015-04-10,256000,2000,253500,257000,251000,208427
3453,2015-04-09,254000,12500,242500,258000,241500,511538
3454,2015-04-08,241500,12500,229500,242000,229000,351434
3455,2015-04-07,229000,500,232500,235000,229000,136854
3456,2015-04-06,228500,1000,226000,230000,224500,120523
3457,2015-04-03,227500,1500,229000,229500,225500,155013
3458,2015-04-02,229000,4000,228500,232500,228000,166357
3459,2015-04-01,225000,1000,228000,228000,222000,113762
3440,2015-03-31,226000,1000,228000,228500,226000,131695
3441,2015-03-30,225000,1500,225500,226000,222000,179490
3442,2015-03-27,226500,500,226000,228500,224500,163861
3443,2015-03-26,226000,0,225000,229000,223500,272721
3444,2015-03-25,226000,5500,231500,232000,225000,253918
3445,2015-03-24,231500,2000,232500,233000,227000,144947
3446,2015-03-23,233500,1000,236000,236500,232500,119147
3447,2015-03-20,234500,500,231000,234500,229000,169460
3448,2015-03-19,234000,7000,231000,236500,230000,209546
3449,2015-03-18,227000,1000,228000,228500,223000,185876
3430,2015-03-17,228000,7500,221500,228000,221000,217773
3431,2015-03-16,220500,13000,231000,231000,219500,402430
3432,2015-03-13,233500,1500,237000,237000,233000,162685
3433,2015-03-12,235000,1000,233500,240500,232000,359315
3434,2015-03-11,234000,3000,233500,235500,231000,222199
3435,2015-03-10,237000,1500,239000,242500,236500,228478
3436,2015-03-09,235500,2500,230500,237500,230500,190784
3437,2015-03-06,233000,3000,226000,235000,226000,175241
3438,2015-03-05,230000,500,230000,232000,229500,162358
3439,2015-03-04,229500,5000,232000,235000,229000,226515
3420,2015-03-03,234500,500,233000,235500,230500,168525
3421,2015-03-02,234000,4000,233000,236500,229500,282395
3422,2015-02-27,230000,2000,228500,231000,225500,257110
3423,2015-02-26,232000,1500,233000,233500,228000,270781
3424,2015-02-25,230500,8500,223500,231500,222000,289979
3425,2015-02-24,222000,500,221500,222000,217500,144149
3426,2015-02-23,221500,3000,221500,224000,221000,236889
3427,2015-02-17,218500,2500,218500,219500,213000,151867
3428,2015-02-16,216000,3500,222000,226000,215500,269835
3429,2015-02-13,219500,8500,216000,220000,215000,277709
3410,2015-02-12,211000,3500,213500,214500,208500,207556
3411,2015-02-11,214500,2500,217000,220000,212000,258649
3412,2015-02-10,217000,1500,213000,223000,213000,367022
3413,2015-02-09,215500,6000,213000,216500,211000,311884
3414,2015-02-06,209500,7500,206500,209500,204000,243525
3415,2015-02-05,202000,11500,211000,211000,202000,296204
3416,2015-02-04,213500,5500,214500,217000,209500,512438
3417,2015-02-03,208000,2500,209000,211000,206000,305131
3418,2015-02-02,205500,7000,202500,208500,201500,336294
3419,2015-01-30,198500,500,202000,202000,198000,252912
3400,2015-01-29,199000,0,195500,201000,192000,318412
3401,2015-01-28,199000,0,199500,202000,196500,290261
3402,2015-01-27,199000,12000,188500,199000,185500,522631
3403,2015-01-26,187000,8000,194500,194500,186500,429528
3404,2015-01-23,195000,2000,196000,199500,193000,452331
3405,2015-01-22,193000,8500,186500,193000,186000,350725
3406,2015-01-21,184500,1500,182000,186500,182000,200089
3407,2015-01-20,183000,3000,181000,185000,180000,235374
3408,2015-01-19,180000,5000,178000,182500,178000,160144
3409,2015-01-16,175000,3500,177000,177500,173500,166914
3390,2015-01-15,178500,1000,179500,180000,176500,126385
3391,2015-01-14,177500,2500,180500,181500,176000,160434
3392,2015-01-13,180000,500,178000,180500,174500,212888
3393,2015-01-12,180500,2000,178500,182000,177000,202770
3394,2015-01-09,178500,10500,173500,179500,172000,429244
3395,2015-01-08,168000,3500,167500,169500,166500,274598
3396,2015-01-07,164500,1500,164000,167500,163000,335124
3397,2015-01-06,166000,8500,170500,171000,163500,567304
