,date,close,diff,open,high,low,volume
5022,2006-02-07,35250,200,35500,36300,35250,12338416
5023,2006-02-06,35450,450,34300,35650,33700,12325246
5024,2006-02-03,35000,1250,35150,36050,34950,11244571
5005,2006-02-02,36250,750,36350,36650,34950,14279598
5006,2006-02-01,35500,1800,36850,37250,34900,14930820
5007,2006-01-31,37300,200,37700,38700,36750,18154320
5008,2006-01-27,37500,750,37350,37750,36250,14503649
5009,2006-01-26,36750,2750,34900,36750,34300,18925359
5010,2006-01-25,34000,500,35300,35850,34000,15537952
5011,2006-01-24,33500,2350,31850,33500,30700,15974226
5012,2006-01-23,31150,1150,31300,32600,29600,15530465
5013,2006-01-20,32300,2100,34400,35200,32100,16771296
5014,2006-01-19,34400,1400,33300,34650,33250,18428496
4995,2006-01-18,33000,3200,35200,35700,32850,19665484
4996,2006-01-17,36200,1550,37650,38100,35650,10257599
4997,2006-01-16,37750,350,38700,38750,37450,8045638
4998,2006-01-13,38100,400,36900,38100,36400,10008442
4999,2006-01-12,37700,350,37950,38450,37400,9289258
5000,2006-01-11,37350,650,37950,38150,36600,9532302
5001,2006-01-10,38000,1250,37600,38600,37450,16155952
5002,2006-01-09,36750,1700,35600,36750,35450,13652495
5003,2006-01-06,35050,450,34950,35850,34850,12707206
5004,2006-01-05,34600,700,35900,36000,33600,21566179
4985,2006-01-04,35300,2800,38250,39050,35300,23140068
4986,2006-01-03,38100,500,38100,38400,36850,13834043
4987,2006-01-02,37600,2300,36100,37650,35850,13366196
4988,2005-12-29,35300,2100,33350,35300,33350,12846374
4989,2005-12-28,33200,200,32600,33600,32500,8378076
4990,2005-12-27,33000,850,34000,34100,32950,10205945
4991,2005-12-26,33850,400,33900,34050,32950,13141028
4992,2005-12-23,33450,550,33950,34400,33050,14205763
4993,2005-12-22,32900,1900,31500,34150,31400,27211979
4994,2005-12-21,31000,700,30400,31300,30350,13220569
4975,2005-12-20,30300,400,30300,31050,30100,12219195
4976,2005-12-19,30700,1800,29300,30850,28800,16470978
4977,2005-12-16,28900,550,29000,30200,28450,15461504
4978,2005-12-15,29450,2000,28250,29800,27800,23126083
4979,2005-12-14,27450,1400,26300,27750,26250,21078644
4980,2005-12-13,26050,350,26100,26650,25950,10798436
4981,2005-12-12,25700,0,25650,26250,25650,10240490
4982,2005-12-09,25700,900,26500,27050,25700,12589275
